"filename", "language", "JavaScript", "CSS", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\Controllers.js", "JavaScript", 15, 0, 0, 0, 1, 3, 19
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\LoginController.js", "JavaScript", 17, 0, 0, 0, 48, 6, 71
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\MainController.js", "JavaScript", 72, 0, 0, 0, 9, 8, 89
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\controller\ScholarshipController.js", "JavaScript", 9, 0, 0, 0, 1, 6, 16
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\data\datanews.js", "JavaScript", 24, 0, 0, 0, 0, 3, 27
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\data\test.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\index.js", "JavaScript", 13, 0, 0, 0, 3, 6, 22
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\pages\LoginPage.js", "JavaScript", 44, 0, 0, 0, 0, 9, 53
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\pages\MainPage.js", "JavaScript", 231, 0, 0, 0, 3, 32, 266
"c:\Users\Tanatorn\Desktop\Code\webdev\software-engineer\scholarship-wepapp\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\App.js", "JavaScript", -21, 0, 0, 0, 0, -3, -24
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\App.scss", "SCSS", 0, 0, -1384, 0, -87, -216, -1687
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\Responsive.scss", "SCSS", 0, 0, -52, 0, -1, -12, -65
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\components\LoginGoogle.js", "JavaScript", -170, 0, 0, 0, -3, -17, -190
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\AnnouncementLogin.js", "JavaScript", -23, 0, 0, 0, 0, -4, -27
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\AnnouncementLogin\NewsListlogin.js", "JavaScript", -60, 0, 0, 0, 0, -13, -73
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\Announcement.js", "JavaScript", -33, 0, 0, 0, 0, -6, -39
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnouncementCreate.js", "JavaScript", -176, 0, 0, 0, -8, -10, -194
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\AnnouncementEdit.js", "JavaScript", -152, 0, 0, 0, -1, -20, -173
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Announcement\NewsList.js", "JavaScript", -81, 0, 0, 0, -2, -13, -96
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\Applicant.js", "JavaScript", -50, 0, 0, 0, 0, -5, -55
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantCheckForm.js", "JavaScript", -291, 0, 0, 0, 0, -39, -330
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Applicant\ApplicantList.js", "JavaScript", -39, 0, 0, 0, -4, -14, -57
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\Interview.js", "JavaScript", -49, 0, 0, 0, 0, -7, -56
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewRate.js", "JavaScript", -114, 0, 0, 0, -9, -19, -142
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\contents\Interview\InterviewSchedule.js", "JavaScript", -54, 0, 0, 0, 0, -7, -61
