"filename", "language", "SCSS", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\InterviewScheduleEdit.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -4, -13
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.css", "CSS", 0, 0, 0, 0, 0, 0, -145, -5, -150
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCheck.js", "JavaScript", 0, -58, 0, 0, 0, 0, 0, -9, -67
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileCreate.js", "JavaScript", 0, -207, 0, 0, 0, 0, 0, -18, -225
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.css", "CSS", 0, 0, 0, 0, 0, 0, -117, -16, -133
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ProfileEdit.js", "JavaScript", 0, -173, 0, 0, 0, 0, 0, -13, -186
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.css", "CSS", 0, 0, -47, 0, 0, 0, -5, -3, -55
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ReportInspect.js", "JavaScript", 0, -69, 0, 0, 0, 0, 0, -4, -73
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.css", "CSS", 0, 0, 0, 0, 0, 0, -193, -2, -195
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipCheckForm.js", "JavaScript", 0, -236, 0, 0, 0, 0, 0, -37, -273
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipEdit.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -5, -14
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.css", "CSS", 0, 0, -25, 0, 0, 0, -305, -22, -352
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListCreate.js", "JavaScript", 0, -252, 0, 0, 0, 0, -4, -31, -287
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListEdit.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -6, -15
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.css", "CSS", 0, 0, -61, 0, 0, 0, -70, -14, -145
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister.js", "JavaScript", 0, -243, 0, 0, 0, 0, 0, -11, -254
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister2.css", "CSS", 0, 0, -80, 0, 0, 0, -6, -6, -92
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\ScholarshipListRegister2.js", "JavaScript", 0, -78, 0, 0, 0, 0, 0, -6, -84
"c:\Users\mrtan\Desktop\Code\html\software-engineer\scholarship-wepapp\client\src\sub-contents\test.css", "CSS", 0, 0, -30, 0, 0, 0, 0, -3, -33
"Total", "-", 387, 979, -712, -39, -29303, -46, -938, 71, -29601
